"STATUS","START_DATE","START_HOUR","TRANSCRITO","COMPANY_NAME","partido1_apoyo","partido2_apoyo","interaction_user","partido1_apoyo_real","partido2_apoyo_real","partido1_preferencia","partido2_preferencia","gobierno_calificacion"
"no-answer","2025-04-23T00:00:00.000Z","21:15:06","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:49:16","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""},{""content"":""3 2 3 grabe su mensaje."",""role"":""user""},{""content"":"""",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","21:45:07","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-22T00:00:00.000Z","19:46:06","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:41:41","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""},{""content"":""9 0 grabe su mensaje."",""role"":""user""},{""content"":"""",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:18:00","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","22:55:16","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-22T00:00:00.000Z","19:46:14","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:13:41","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:20:04","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","22:51:19","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","22:54:34","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""},{""content"":""9 9 8 grabe su mensaje."",""role"":""user""},{""content"":"""",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:13:23","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","22:53:07","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:35:25","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","22:57:13","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""},{""content"":""6 2 grabe su mensaje."",""role"":""user""},{""content"":"""",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:14:18","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","22:53:00","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","21:15:51","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:15:15","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:44:39","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","23:14:09","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:18:27","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:17:28","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","21:40:54","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"busy","2025-04-23T00:00:00.000Z","18:42:15","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:38:01","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:39:35","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","20:52:35","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:20:26","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:15:19","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","20:48:22","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","22:51:47","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:41:38","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","22:54:33","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","18:41:01","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:38:41","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","18:41:07","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","18:42:05","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""},{""content"":""6 4 grabe su mensaje."",""role"":""user""},{""content"":"""",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:50:35","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:41:47","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:53:35","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-22T00:00:00.000Z","22:21:47","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","22:52:45","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:42:55","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"busy","2025-04-23T00:00:00.000Z","21:19:07","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:35:59","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","22:54:15","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:17:27","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:20:15","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:36:23","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-22T00:00:00.000Z","19:33:13","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:48:34","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","23:36:21","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:38:14","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","18:43:41","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"busy","2025-04-23T00:00:00.000Z","21:44:03","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:53:22","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","20:53:30","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","20:48:53","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","18:43:50","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","21:17:17","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:52:31","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","22:54:24","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:52:44","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-22T00:00:00.000Z","19:32:36","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:55:30","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","22:52:33","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:15:32","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:39:53","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:50:38","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-22T00:00:00.000Z","19:47:01","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-22T00:00:00.000Z","19:33:29","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:47:19","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:37:27","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","18:41:39","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:12:44","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""},{""content"":""5 2 grabe su mensaje."",""role"":""user""},{""content"":"""",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:48:34","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-22T00:00:00.000Z","19:45:31","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","22:52:06","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-22T00:00:00.000Z","22:21:38","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","21:18:36","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","20:50:06","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","21:44:55","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","21:20:01","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","22:55:26","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","21:16:57","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-22T00:00:00.000Z","19:45:31","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","20:50:59","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","20:55:52","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","20:53:14","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-22T00:00:00.000Z","19:46:25","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","18:43:44","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"no-answer","2025-04-23T00:00:00.000Z","23:12:06","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:41:09","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:16:37","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:12:10","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"failed","2025-04-23T00:00:00.000Z","23:10:52","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","23:39:42","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""},{""content"":""0 0 grabe su mensaje."",""role"":""user""},{""content"":"""",""role"":""assistant""}]","Heraldo",,,,,,,,
"completed","2025-04-23T00:00:00.000Z","21:21:39","[{""content"":""Hola, mi nombre es Gabriela. Estoy realizando una encuesta sobre preferencias políticas en su comunidad. ¿Podría dedicarme unos minutos para responder algunas preguntas?"",""role"":""assistant""}]","Heraldo",,,,,,,,
